outcome_group,outcome,outcome_label,specification,omitted_cohort,full_beta,beta,cluster_se,webb_p,delta,pct_change,sign_flip,N,N_clusters,outcome_order,spec_order
QoE,qoe_deprivation_score50,QoE deprivation score,Binary DiD,2000,-.0369160587913664,-.039373908,.011515548,.00370037,-.0024578511,-6.6579452,0,29695,10,3,1
QoE,qoe_deprivation_score50,QoE deprivation score,Binary DiD,2001,-.0369160587913664,-.035536807,.010442936,.00280028,.0013792524,3.7361856,0,30234,10,3,1
QoE,qoe_deprivation_score50,QoE deprivation score,Binary DiD,2002,-.0369160587913664,-.03471389,.0097002853,.00250025,.0022021667,5.9653354,0,30570,10,3,1
QoE,qoe_deprivation_score50,QoE deprivation score,Intensity,1992,-.0155894892348563,-.015156211,.0054385224,.01160116,.0004332778,2.7792945,0,26736,10,3,2
QoE,qoe_deprivation_score50,QoE deprivation score,Intensity,1993,-.0155894892348563,-.016021427,.0053622038,.0090009002,-.00043193795,-2.7706997,0,26766,10,3,2
QoE,qoe_deprivation_score50,QoE deprivation score,Intensity,1994,-.0155894892348563,-.014043686,.0051008989,.01350135,.0015458034,9.9156771,0,27175,10,3,2
QoE,qoe_deprivation_score50,QoE deprivation score,Intensity,1995,-.0155894892348563,-.015663864,.0053782985,.0098009799,-.000074374591,-.47708163,0,27560,10,3,2
QoE,qoe_deprivation_score50,QoE deprivation score,Intensity,1996,-.0155894892348563,-.015154161,.0053691696,.01110111,.00043532782,2.7924442,0,27859,10,3,2
QoE,qoe_deprivation_score50,QoE deprivation score,Intensity,1997,-.0155894892348563,-.015628578,.0050229467,.0018001801,-.000039089315,-.25074148,0,28380,10,3,2
QoE,qoe_deprivation_score50,QoE deprivation score,Intensity,1998,-.0155894892348563,-.016640529,.0057053603,.0027002699,-.0010510397,-6.7419767,0,28822,10,3,2
QoE,qoe_deprivation_score50,QoE deprivation score,Intensity,1999,-.0155894892348563,-.01228297,.0038746851,.0074007399,.0033065192,21.209927,0,29313,10,3,2
QoE,qoe_deprivation_score50,QoE deprivation score,Intensity,2000,-.0155894892348563,-.020991921,.0041896761,.0049004899,-.0054024314,-34.65432,0,29695,10,3,2
QoE,qoe_deprivation_score50,QoE deprivation score,Intensity,2001,-.0155894892348563,-.015936848,.0063676429,.0079007903,-.00034735876,-2.2281599,0,30234,10,3,2
QoE,qoe_deprivation_score50,QoE deprivation score,Intensity,2002,-.0155894892348563,-.014772531,.0056226249,.0072007203,.00081695872,5.2404456,0,30570,10,3,2
QoE,qoe_multidim_deprived50,Multidimensional deprivation,Binary DiD,1992,-.0475631724061054,-.046121884,.018459335,.036603659,.00144129,3.0302646,0,26736,10,4,1
QoE,qoe_multidim_deprived50,Multidimensional deprivation,Binary DiD,1993,-.0475631724061054,-.05147846,.017098432,.018801881,-.0039152894,-8.2317667,0,26766,10,4,1
QoE,qoe_multidim_deprived50,Multidimensional deprivation,Binary DiD,1994,-.0475631724061054,-.038719587,.015754156,.048404839,.0088435849,18.593346,0,27175,10,4,1
QoE,qoe_multidim_deprived50,Multidimensional deprivation,Binary DiD,1995,-.0475631724061054,-.049424965,.017818376,.02760276,-.0018617909,-3.9143541,0,27560,10,4,1
QoE,qoe_multidim_deprived50,Multidimensional deprivation,Binary DiD,1996,-.0475631724061054,-.046979971,.018257119,.034103412,.00058320165,1.2261623,0,27859,10,4,1
